                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.78628,                0.47841,                0.90404,                0.86554,                0.40699,                0.93464,                0.96692,                    0.9,                0.98451,                0.79857,                0.71873,                0.41304,                0.90048,                0.74847,                0.32649,                  0.893,              0.0012674,              0.0012674,              0.0012674
                     40,                0.76628,                 0.4521,                0.90238,                0.83883,                0.38799,                0.92319,                0.97386,                0.93135,                0.98394,                0.79842,                0.72032,                0.41815,                0.88407,                0.74025,                0.33272,                0.85898,              0.0012476,              0.0012476,              0.0012476
                     41,                0.78171,                0.46471,                 0.9259,                0.85896,                0.38752,                 0.9455,                 0.9569,                0.92502,                0.98629,                0.79478,                0.77128,                0.39421,                0.88587,                0.78383,                0.33715,                0.87636,              0.0012278,              0.0012278,              0.0012278
                     42,                0.77397,                0.46986,                0.91792,                0.85926,                0.37986,                0.94078,                0.97322,                0.90871,                0.98871,                0.79017,                0.74031,                0.42067,                0.88441,                 0.7859,                0.34079,                0.88774,               0.001208,               0.001208,               0.001208
                     43,                0.79132,                0.46858,                0.91068,                0.86756,                 0.3868,                0.94207,                0.92707,                0.95833,                0.97964,                0.77883,                0.73696,                0.39182,                0.90376,                  0.759,                 0.3468,                0.90421,              0.0011882,              0.0011882,              0.0011882
                     44,                0.79435,                0.46295,                0.91504,                0.87065,                0.39177,                0.94963,                0.93352,                   0.95,                0.97897,                0.78515,                0.72628,                0.40703,                0.89463,                0.79333,                0.39543,                0.90223,              0.0011684,              0.0011684,              0.0011684
                     45,                0.77538,                0.46848,                0.91266,                0.84242,                0.39745,                0.93937,                0.98183,                0.90075,                0.98706,                0.79758,                0.72375,                0.39061,                0.89219,                 0.7501,                0.31317,                0.88711,              0.0011486,              0.0011486,              0.0011486
                     46,                0.73749,                0.44848,                0.91098,                0.79826,                0.34519,                 0.9353,                0.99526,                  0.925,                0.98946,                0.78748,                0.74752,                0.38981,                0.87706,                0.76155,                0.32706,                0.85981,              0.0011288,              0.0011288,              0.0011288
                     47,                0.77286,                0.45358,                0.89626,                0.82595,                0.36844,                0.91871,                0.93662,                0.98517,                0.99239,                  0.798,                0.71287,                0.41035,                 0.8681,                0.74547,                 0.3144,                0.86601,               0.001109,               0.001109,               0.001109
                     48,                 0.7651,                0.45248,                 0.9117,                0.83335,                0.41415,                 0.9366,                0.98369,                   0.95,                0.99043,                0.80233,                0.71064,                0.38189,                0.88028,                0.72471,                0.29665,                0.89036,              0.0010892,              0.0010892,              0.0010892
                     49,                0.69596,                0.41569,                0.89136,                0.75669,                0.32003,                0.91406,                0.95222,                0.95833,                0.98996,                0.81099,                0.69765,                0.37763,                0.88277,                 0.7454,                0.27875,                0.89149,              0.0010694,              0.0010694,              0.0010694
